1,Рогозин Антон,1157.60,136/201
2,Попов Егор,1151.85,153/225
3,Новиков Богдан,1123.25,76/114
4,Зубко Дмитрий,1121.60,117/193
5,Лапыгин Антон,1115.27,62/96
6,Данюшевский Пётр,1095.50,43/64
7,Сорокин Валентин,1069.88,50/84
8,Ермолаев Алексей,1069.08,50/83
9,Ковалёв Александр,1060.74,115/230
10,Черноножкин Василий,1055.50,62/105
11,Селин Станислав,1051.77,49/92
12,Володин Антон,1050.75,53/97
13,Привалов Денис,1049.53,40/66
14,Абдулазизов Озод,1044.67,46/84
15,Антонов Евгений,1043.63,65/135
16,Сизякин Артём,1042.04,54/104
17,Воробьёв Петя,1042.00,39/69
18,Борц Ларик,1039.43,115/196
19,Нащёкин Алексей,1038.81,25/42
20,Пинчук Сергей,1037.45,86/175
21,Булатов Вадим,1028.05,7/10
22,Иванов Алексей,1019.36,11/20
23,Клюйков Дмитрий,1018.54,6/10
24,Гребенщиков Леонид,1015.90,27/50
25,Щербаков Григорий,1012.07,39/78
26,Телегин Антон,1010.26,6/10
27,Малахов Алексей,1010.25,7/12
28,Смирнов Виктор,1006.14,27/56
29,Сергеев Влад,1005.81,4/8
30,Нестеренко Виталий,1004.05,4/8
31,Воронцов Денис,1003.89,13/26
32,Димитров Максим,1002.78,4/8
33,Игнатов Владимир,1002.07,6/12
34,Шунин Иван,1001.73,9/18
35,Мамедов Искандер,1001.64,18/40
36,Зелянин Дмитрий,999.84,12/26
37,Овешников Андрей,999.64,12/26
38,Ярцев Александр,997.41,75/162
39,Дмитриев Павел,997.32,41/80
40,Амирханов Артём,994.98,4/10
41,Ефремов Александр,994.57,4/10
42,Кравченко Зевс,991.33,5/12
43,Гаврилов Андрей,991.13,9/20
44,Анвартдинов Тимур,991.12,9/20
45,Яник Пётр,991.04,4/10
46,Полевиков Александр,990.20,17/37
47,Селина Анна,990.03,33/77
48,Куклин Андрей,989.88,3/8
49,Никитин Сергей,989.81,20/46
50,Обернихен Константин,989.74,4/10
51,Елисеев Борис,988.73,41/86
52,Дынников Савел,986.27,3/10
53,Шурыгин Егор,986.21,83/182
54,Мухин Анатолий,986.07,28/64
55,Тихомиров Андрей,985.89,11/28
56,Чепрасов Дмитрий,985.12,3/10
57,Семёнов Олег,983.13,5/14
58,Мягги Константин,982.70,7/19
59,Ледовский Артур,982.32,3/10
60,Филиппов Александр,981.66,19/42
61,Павлов Алексей,981.13,1/6
62,Иванов Максим,980.96,10/26
63,Трескунов Игорь,980.30,2/8
64,Малынич Александр,980.22,2/8
65,Бушмакин Евгений,980.20,2/8
66,Макаров Ян,979.95,2/9
67,Рыжов Александр,979.88,3/10
68,Ратников Николай,979.61,3/10
69,Гришин Виктор,977.77,7/20
70,Ельшевский Антон,976.74,3/10
71,Федин Пётр,976.35,4/12
72,Белоусов Николай,975.11,2/10
73,Леньшин Егор,973.47,16/38
74,Старк Сергей,973.45,1/8
75,Литвиненко Антон,972.51,0/6
76,Овсяников Денис,972.33,26/61
77,Карташёв Дмитрий,971.90,6/18
78,Ковшиков Тимофей,971.21,1/8
79,Николаев Денис,970.93,17/42
80,Орловский Алексей,970.10,2/10
81,Максимов Владимир,969.01,2/10
82,Пинчук Алексей,968.86,27/70
83,Андреев Максим,967.51,0/8
84,Галкин Дмитрий,967.25,1/10
85,Сергеев Иван,966.25,9/26
86,Ларин Филипп,963.16,4/16
87,Смышляев Алексей,961.18,4/16
88,Жигарёв Борис,960.48,8/28
89,Гольцов Василий,958.76,11/34
90,Новикова Лилия,957.77,26/68
91,Смирнов Михаил,957.37,54/127
92,Гончаренко Сергей,951.15,10/32
93,Инина Марина,950.99,0/10
94,Леонов Антон,948.00,15/44
95,Колмаков Пётр,945.19,28/73
96,Волков Кирилл,942.99,3/18
97,Степанович Сергей,941.41,1/16
98,Малич Антон,932.15,26/78
99,Шеляпин Антон,917.39,10/42
